,driverId,constructorId,grid,year_x,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,statusId_1,statusId_2,statusId_3,positionOrder,Column1
199,825,210,16,2019,9,0,0,0,0,1,0.0,0.0,1.0,0,0.0
200,830,9,2,2019,10,0,0,0,0,1,1.0,0.0,0.0,1,0.16696802
201,20,6,20,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,1.0938283e-07
202,826,5,14,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,9.098472e-16
203,840,211,15,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,0.0
204,832,1,7,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,0.0036452413
205,848,5,16,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,7.659763e-21
206,154,210,6,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,2.1682242e-06
207,825,210,12,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,1.08707406e-35
208,1,131,1,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,0.7038324
209,9,3,18,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,3.287551e-07
210,847,3,17,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,1.1074231e-22
211,8,51,5,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,0.04074353
212,841,51,11,2019,10,0,0,0,0,1,1.0,0.0,0.0,0,8.408679e-12
213,842,9,4,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
214,822,131,3,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
215,807,4,9,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
216,844,6,10,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
217,846,1,19,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
218,817,4,13,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
219,815,211,8,2019,10,0,0,0,0,1,0.0,0.0,1.0,0,0.0
220,1,131,3,2019,11,1,0,0,0,0,1.0,0.0,0.0,1,0.10991526
221,830,9,1,2019,11,1,0,0,0,0,1.0,0.0,0.0,0,0.009830147
222,20,6,5,2019,11,1,0,0,0,0,1.0,0.0,0.0,0,0.033219576
223,844,6,4,2019,11,1,0,0,0,0,1.0,0.0,0.0,0,1.6804368e-05
224,832,1,8,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
225,842,9,6,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
226,8,51,10,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
227,822,131,2,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
228,846,1,7,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
229,848,5,12,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
230,815,211,16,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
231,807,4,11,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
232,825,210,14,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
233,817,4,20,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
234,826,5,13,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
235,847,3,15,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
236,840,211,18,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
237,841,51,17,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
238,9,3,19,2019,11,1,0,0,0,0,0.0,1.0,0.0,0,0.0
