ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
3,355,24,18,1,4,1,1,20757
4,355,24,3,131,9,1,1,20758
5,355,24,9,4,11,1,1,20759
6,355,24,808,4,10,1,1,20760
7,355,24,4,6,3,1,1,20761
8,355,24,17,9,5,1,1,20762
9,355,24,153,5,17,1,1,20763
10,355,24,13,6,6,1,1,20764
11,355,24,2,15,14,1,1,20765
12,355,24,22,3,7,1,1,20766
13,355,24,16,10,13,1,1,20767
14,355,24,155,15,12,1,1,20768
15,355,24,67,5,18,1,1,20769
16,355,24,807,3,15,1,1,20770
17,355,24,5,205,20,1,1,20771
18,355,24,810,166,22,1,1,20772
19,355,24,811,164,23,1,1,20773
20,355,24,32,164,24,1,1,20774
0,355,24,15,205,19,2,1,20775
0,355,24,10,166,21,2,1,20776
0,355,24,30,131,8,2,1,20777
0,355,24,24,10,16,2,1,20778
1,841,1,20,9,1,1,1,20779
2,841,1,1,1,2,1,1,20780
3,841,1,808,4,6,1,1,20781
4,841,1,4,6,5,1,1,20782
5,841,1,17,9,3,1,1,20783
6,841,1,18,1,4,1,1,20784
7,841,1,13,6,8,1,1,20785
8,841,1,67,5,10,1,1,20786
9,841,1,16,10,16,1,1,20787
10,841,1,814,10,14,1,1,20788
11,841,1,153,5,12,1,1,20789
12,841,1,2,4,18,1,1,20790
13,841,1,15,205,20,1,1,20791
14,841,1,816,166,22,1,1,20792
0,841,1,10,166,21,2,1,20793
0,841,1,22,3,17,2,1,20794
0,841,1,3,131,7,2,1,20795
0,841,1,5,205,19,2,1,20796
0,841,1,30,131,11,2,1,20797
0,841,1,813,3,15,2,1,20798
0,841,1,155,15,9,2,1,20799
0,841,1,815,15,13,2,1,20800
1,842,2,20,9,1,1,1,20801
2,842,2,18,1,4,1,1,20802
3,842,2,2,4,6,1,1,20803
4,842,2,17,9,3,1,1,20804
5,842,2,13,6,7,1,1,20805
6,842,2,4,6,5,1,1,20806
7,842,2,155,15,10,1,1,20807
8,842,2,1,1,2,1,1,20808
9,842,2,30,131,11,1,1,20809
10,842,2,814,10,14,1,1,20810
11,842,2,16,10,17,1,1,20811
12,842,2,3,131,9,1,1,20812
13,842,2,67,5,12,1,1,20813
14,842,2,153,5,13,1,1,20814
15,842,2,5,205,19,1,1,20815
16,842,2,10,166,21,1,1,20816
0,842,2,808,4,8,2,1,20817
0,842,2,24,164,23,2,1,20818
0,842,2,816,166,22,2,1,20819
0,842,2,15,205,20,2,1,20820
0,842,2,815,15,16,2,1,20821
0,842,2,22,3,15,2,1,20822
0,842,2,39,164,24,2,1,20823
0,842,2,813,3,18,2,1,20824
1,843,17,1,1,3,1,1,20825
2,843,17,20,9,1,1,1,20826
3,843,17,17,9,18,1,1,20827
4,843,17,18,1,2,1,1,20828
5,843,17,3,131,4,1,1,20829
6,843,17,13,6,6,1,1,20830
7,843,17,4,6,5,1,1,20831
8,843,17,30,131,14,1,1,20832
9,843,17,808,4,10,1,1,20833
10,843,17,155,15,13,1,1,20834
11,843,17,814,10,8,1,1,20835
12,843,17,2,4,16,1,1,20836
13,843,17,22,3,15,1,1,20837
14,843,17,67,5,9,1,1,20838
15,843,17,16,10,11,1,1,20839
16,843,17,5,205,19,1,1,20840
17,843,17,815,15,12,1,1,20841
18,843,17,813,3,17,1,1,20842
19,843,17,15,205,20,1,1,20843
20,843,17,816,166,21,1,1,20844
21,843,17,10,166,22,1,1,20845
22,843,17,24,164,23,1,1,20846
23,843,17,39,164,24,1,1,20847
0,843,17,153,5,7,2,1,20848
1,844,5,20,9,1,1,1,20849
2,844,5,17,9,2,1,1,20850
3,844,5,4,6,5,1,1,20851
4,844,5,1,1,4,1,1,20852
5,844,5,3,131,3,1,1,20853
