,round,resultId,raceId,circuitId,driverId,constructorId,position,proba_1,Pred_Position,Delta,Spread,pos_group,pred_pos_group
213,11,24419,1020,10,842,9,14,0,14,0,1,4,4
214,11,24420,1020,10,822,131,0,0,15,15,0,4,4
215,11,24421,1020,10,807,4,0,0,16,16,0,4,4
216,11,24422,1020,10,844,6,0,0,17,17,0,4,4
217,11,24423,1020,10,846,1,0,0,18,18,0,4,4
218,11,24424,1020,10,817,4,0,0,19,19,0,4,4
219,11,24425,1020,10,815,211,0,0,20,20,0,4,4
221,12,24427,1021,11,830,9,2,0.5,1,1,1,1,1
220,12,24426,1021,11,1,131,1,0.4,2,1,1,1,1
223,12,24429,1021,11,844,6,4,0.1,3,1,1,2,1
225,12,24431,1021,11,842,9,6,0.1,4,2,1,2,2
222,12,24428,1021,11,20,6,3,0,5,2,1,1,2
224,12,24430,1021,11,832,1,5,0,6,1,1,2,2
226,12,24432,1021,11,8,51,7,0,7,0,1,3,3
227,12,24433,1021,11,822,131,8,0,8,0,1,3,3
228,12,24434,1021,11,846,1,9,0,9,0,1,3,3
229,12,24435,1021,11,848,5,10,0,10,0,1,3,3
230,12,24436,1021,11,815,211,11,0,11,0,1,4,4
231,12,24437,1021,11,807,4,12,0,12,0,1,4,4
232,12,24438,1021,11,825,210,13,0,13,0,1,4,4
233,12,24439,1021,11,817,4,14,0,14,0,1,4,4
234,12,24440,1021,11,826,5,15,0,15,0,1,4,4
235,12,24441,1021,11,847,3,16,0,16,0,1,4,4
236,12,24442,1021,11,840,211,17,0,17,0,1,4,4
237,12,24443,1021,11,841,51,18,0,18,0,1,4,4
238,12,24444,1021,11,9,3,19,0,19,0,1,4,4
239,12,24445,1021,11,154,210,0,0,20,20,0,4,4
240,13,24446,1022,13,844,6,1,0.5,1,0,1,1,1
241,13,24447,1022,13,1,131,2,0.5,2,0,1,1,1
243,13,24449,1022,13,20,6,4,0.3,3,1,1,2,1
259,13,24465,1022,13,830,9,0,0.2,4,4,0,4,2
255,13,24461,1022,13,8,51,16,0.1,5,11,0,4,2
256,13,24462,1022,13,9,3,17,0.1,6,11,0,4,2
242,13,24448,1022,13,822,131,3,0,7,4,0,1,3
244,13,24450,1022,13,848,9,5,0,8,3,0,2,3
245,13,24451,1022,13,815,211,6,0,9,3,0,2,3
246,13,24452,1022,13,826,5,7,0,10,3,0,3,3
247,13,24453,1022,13,807,4,8,0,11,3,0,3,4
248,13,24454,1022,13,842,5,9,0,12,3,0,3,4
249,13,24455,1022,13,840,211,10,0,13,3,0,3,4
250,13,24456,1022,13,846,1,11,0,14,3,0,4,4
251,13,24457,1022,13,825,210,12,0,15,3,0,4,4
252,13,24458,1022,13,154,210,13,0,16,3,0,4,4
253,13,24459,1022,13,817,4,14,0,17,3,0,4,4
254,13,24460,1022,13,847,3,15,0,18,3,0,4,4
257,13,24463,1022,13,841,51,18,0,19,1,1,4,4
258,13,24464,1022,13,832,1,0,0,20,20,0,4,4
260,14,24466,1023,14,844,6,1,0.4,1,0,1,1,1
262,14,24468,1023,14,1,131,3,0.4,2,1,1,1,1
